	run ID	name	method	date run	command-line
10	11	07fa8fff4bfbc6d8413d6eb27a825e93	ANIm	2023-02-09 19:08:57.035640	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/07fa8fff4bfbc6d8413d6eb27a825e93 -o genome_clusters/07fa8fff4bfbc6d8413d6eb27a825e93/output -v -l genome_clusters/07fa8fff4bfbc6d8413d6eb27a825e93/output.log --name 07fa8fff4bfbc6d8413d6eb27a825e93 --labels genome_clusters/07fa8fff4bfbc6d8413d6eb27a825e93/labels.txt --classes genome_clusters/07fa8fff4bfbc6d8413d6eb27a825e93/classes.txt
11	12	092957ff78556eb65503e2f4a23282bd	ANIm	2023-02-09 19:09:28.726599	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/092957ff78556eb65503e2f4a23282bd -o genome_clusters/092957ff78556eb65503e2f4a23282bd/output -v -l genome_clusters/092957ff78556eb65503e2f4a23282bd/output.log --name 092957ff78556eb65503e2f4a23282bd --labels genome_clusters/092957ff78556eb65503e2f4a23282bd/labels.txt --classes genome_clusters/092957ff78556eb65503e2f4a23282bd/classes.txt
12	13	0b2832da3913074f23487a5ea51849c6	ANIm	2023-02-09 19:14:17.078969	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/0b2832da3913074f23487a5ea51849c6 -o genome_clusters/0b2832da3913074f23487a5ea51849c6/output -v -l genome_clusters/0b2832da3913074f23487a5ea51849c6/output.log --name 0b2832da3913074f23487a5ea51849c6 --labels genome_clusters/0b2832da3913074f23487a5ea51849c6/labels.txt --classes genome_clusters/0b2832da3913074f23487a5ea51849c6/classes.txt
13	14	0b35904ede62fa92bf4d62ecf9759620	ANIm	2023-02-09 19:14:48.694759	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/0b35904ede62fa92bf4d62ecf9759620 -o genome_clusters/0b35904ede62fa92bf4d62ecf9759620/output -v -l genome_clusters/0b35904ede62fa92bf4d62ecf9759620/output.log --name 0b35904ede62fa92bf4d62ecf9759620 --labels genome_clusters/0b35904ede62fa92bf4d62ecf9759620/labels.txt --classes genome_clusters/0b35904ede62fa92bf4d62ecf9759620/classes.txt
14	15	0d01595cd75d231e51f7e0fc6070a1d7	ANIm	2023-02-09 19:15:17.650490	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/0d01595cd75d231e51f7e0fc6070a1d7 -o genome_clusters/0d01595cd75d231e51f7e0fc6070a1d7/output -v -l genome_clusters/0d01595cd75d231e51f7e0fc6070a1d7/output.log --name 0d01595cd75d231e51f7e0fc6070a1d7 --labels genome_clusters/0d01595cd75d231e51f7e0fc6070a1d7/labels.txt --classes genome_clusters/0d01595cd75d231e51f7e0fc6070a1d7/classes.txt
15	16	0db30f52d498ffd19efa6f3c482b6310	ANIm	2023-02-09 19:15:41.734273	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/0db30f52d498ffd19efa6f3c482b6310 -o genome_clusters/0db30f52d498ffd19efa6f3c482b6310/output -v -l genome_clusters/0db30f52d498ffd19efa6f3c482b6310/output.log --name 0db30f52d498ffd19efa6f3c482b6310 --labels genome_clusters/0db30f52d498ffd19efa6f3c482b6310/labels.txt --classes genome_clusters/0db30f52d498ffd19efa6f3c482b6310/classes.txt
16	17	10000d7a01eeab84f6428ef6fd9a1d57	ANIm	2023-02-09 19:16:06.033466	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/10000d7a01eeab84f6428ef6fd9a1d57 -o genome_clusters/10000d7a01eeab84f6428ef6fd9a1d57/output -v -l genome_clusters/10000d7a01eeab84f6428ef6fd9a1d57/output.log --name 10000d7a01eeab84f6428ef6fd9a1d57 --labels genome_clusters/10000d7a01eeab84f6428ef6fd9a1d57/labels.txt --classes genome_clusters/10000d7a01eeab84f6428ef6fd9a1d57/classes.txt
17	18	10abd5b02bc3787ca294c93602085cc6	ANIm	2023-02-09 19:16:30.037074	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/10abd5b02bc3787ca294c93602085cc6 -o genome_clusters/10abd5b02bc3787ca294c93602085cc6/output -v -l genome_clusters/10abd5b02bc3787ca294c93602085cc6/output.log --name 10abd5b02bc3787ca294c93602085cc6 --labels genome_clusters/10abd5b02bc3787ca294c93602085cc6/labels.txt --classes genome_clusters/10abd5b02bc3787ca294c93602085cc6/classes.txt
18	19	11d95c644e2d5bb7c20d85d26ee3272f	ANIm	2023-02-09 19:16:53.458472	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/11d95c644e2d5bb7c20d85d26ee3272f -o genome_clusters/11d95c644e2d5bb7c20d85d26ee3272f/output -v -l genome_clusters/11d95c644e2d5bb7c20d85d26ee3272f/output.log --name 11d95c644e2d5bb7c20d85d26ee3272f --labels genome_clusters/11d95c644e2d5bb7c20d85d26ee3272f/labels.txt --classes genome_clusters/11d95c644e2d5bb7c20d85d26ee3272f/classes.txt
19	20	13e080dc5982db6fcf2b0885802f5762	ANIm	2023-02-09 19:18:41.966192	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/13e080dc5982db6fcf2b0885802f5762 -o genome_clusters/13e080dc5982db6fcf2b0885802f5762/output -v -l genome_clusters/13e080dc5982db6fcf2b0885802f5762/output.log --name 13e080dc5982db6fcf2b0885802f5762 --labels genome_clusters/13e080dc5982db6fcf2b0885802f5762/labels.txt --classes genome_clusters/13e080dc5982db6fcf2b0885802f5762/classes.txt
20	21	149d276cabfe848fc87c14ce1e0f6ada	ANIm	2023-02-09 19:22:21.262302	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/149d276cabfe848fc87c14ce1e0f6ada -o genome_clusters/149d276cabfe848fc87c14ce1e0f6ada/output -v -l genome_clusters/149d276cabfe848fc87c14ce1e0f6ada/output.log --name 149d276cabfe848fc87c14ce1e0f6ada --labels genome_clusters/149d276cabfe848fc87c14ce1e0f6ada/labels.txt --classes genome_clusters/149d276cabfe848fc87c14ce1e0f6ada/classes.txt
21	22	14b22f08861abf65029a74c4aa6851f6	ANIm	2023-02-09 19:22:56.612356	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/14b22f08861abf65029a74c4aa6851f6 -o genome_clusters/14b22f08861abf65029a74c4aa6851f6/output -v -l genome_clusters/14b22f08861abf65029a74c4aa6851f6/output.log --name 14b22f08861abf65029a74c4aa6851f6 --labels genome_clusters/14b22f08861abf65029a74c4aa6851f6/labels.txt --classes genome_clusters/14b22f08861abf65029a74c4aa6851f6/classes.txt
22	23	15411d57c13f7c15f0cdf52e21e40559	ANIm	2023-02-09 19:23:17.360458	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/15411d57c13f7c15f0cdf52e21e40559 -o genome_clusters/15411d57c13f7c15f0cdf52e21e40559/output -v -l genome_clusters/15411d57c13f7c15f0cdf52e21e40559/output.log --name 15411d57c13f7c15f0cdf52e21e40559 --labels genome_clusters/15411d57c13f7c15f0cdf52e21e40559/labels.txt --classes genome_clusters/15411d57c13f7c15f0cdf52e21e40559/classes.txt
23	24	15c2cc3e9d1c67caec9a5cb5310e1d96	ANIm	2023-02-09 19:23:46.807456	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/15c2cc3e9d1c67caec9a5cb5310e1d96 -o genome_clusters/15c2cc3e9d1c67caec9a5cb5310e1d96/output -v -l genome_clusters/15c2cc3e9d1c67caec9a5cb5310e1d96/output.log --name 15c2cc3e9d1c67caec9a5cb5310e1d96 --labels genome_clusters/15c2cc3e9d1c67caec9a5cb5310e1d96/labels.txt --classes genome_clusters/15c2cc3e9d1c67caec9a5cb5310e1d96/classes.txt
24	25	15e1046fcb3ca626bbe4f3e27c0e2462	ANIm	2023-02-09 19:24:07.762868	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/15e1046fcb3ca626bbe4f3e27c0e2462 -o genome_clusters/15e1046fcb3ca626bbe4f3e27c0e2462/output -v -l genome_clusters/15e1046fcb3ca626bbe4f3e27c0e2462/output.log --name 15e1046fcb3ca626bbe4f3e27c0e2462 --labels genome_clusters/15e1046fcb3ca626bbe4f3e27c0e2462/labels.txt --classes genome_clusters/15e1046fcb3ca626bbe4f3e27c0e2462/classes.txt
25	26	16ab7fcbac08b563e25ed747d6efdf91	ANIm	2023-02-09 19:38:43.795689	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/16ab7fcbac08b563e25ed747d6efdf91 -o genome_clusters/16ab7fcbac08b563e25ed747d6efdf91/output -v -l genome_clusters/16ab7fcbac08b563e25ed747d6efdf91/output.log --name 16ab7fcbac08b563e25ed747d6efdf91 --labels genome_clusters/16ab7fcbac08b563e25ed747d6efdf91/labels.txt --classes genome_clusters/16ab7fcbac08b563e25ed747d6efdf91/classes.txt
26	27	1746d267d29bb13175a0b702766a2fb6	ANIm	2023-02-09 19:39:21.106603	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/1746d267d29bb13175a0b702766a2fb6 -o genome_clusters/1746d267d29bb13175a0b702766a2fb6/output -v -l genome_clusters/1746d267d29bb13175a0b702766a2fb6/output.log --name 1746d267d29bb13175a0b702766a2fb6 --labels genome_clusters/1746d267d29bb13175a0b702766a2fb6/labels.txt --classes genome_clusters/1746d267d29bb13175a0b702766a2fb6/classes.txt
27	28	176cd812b6fbf401938f07374a4ff244	ANIm	2023-02-09 19:39:41.493952	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/176cd812b6fbf401938f07374a4ff244 -o genome_clusters/176cd812b6fbf401938f07374a4ff244/output -v -l genome_clusters/176cd812b6fbf401938f07374a4ff244/output.log --name 176cd812b6fbf401938f07374a4ff244 --labels genome_clusters/176cd812b6fbf401938f07374a4ff244/labels.txt --classes genome_clusters/176cd812b6fbf401938f07374a4ff244/classes.txt
28	29	1930794ec91963e381fbc33ee0228e14	ANIm	2023-02-09 19:40:04.567063	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/1930794ec91963e381fbc33ee0228e14 -o genome_clusters/1930794ec91963e381fbc33ee0228e14/output -v -l genome_clusters/1930794ec91963e381fbc33ee0228e14/output.log --name 1930794ec91963e381fbc33ee0228e14 --labels genome_clusters/1930794ec91963e381fbc33ee0228e14/labels.txt --classes genome_clusters/1930794ec91963e381fbc33ee0228e14/classes.txt
29	30	1a46fda48bd12e02771637dbd83da815	ANIm	2023-02-09 19:41:09.717631	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/1a46fda48bd12e02771637dbd83da815 -o genome_clusters/1a46fda48bd12e02771637dbd83da815/output -v -l genome_clusters/1a46fda48bd12e02771637dbd83da815/output.log --name 1a46fda48bd12e02771637dbd83da815 --labels genome_clusters/1a46fda48bd12e02771637dbd83da815/labels.txt --classes genome_clusters/1a46fda48bd12e02771637dbd83da815/classes.txt
30	31	1a46ffa7eb680a0d3dda48d9aa6369ae	ANIm	2023-02-09 19:41:29.692638	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/1a46ffa7eb680a0d3dda48d9aa6369ae -o genome_clusters/1a46ffa7eb680a0d3dda48d9aa6369ae/output -v -l genome_clusters/1a46ffa7eb680a0d3dda48d9aa6369ae/output.log --name 1a46ffa7eb680a0d3dda48d9aa6369ae --labels genome_clusters/1a46ffa7eb680a0d3dda48d9aa6369ae/labels.txt --classes genome_clusters/1a46ffa7eb680a0d3dda48d9aa6369ae/classes.txt
31	32	1c7416e92b05146d9c3e5ede9057cae9	ANIm	2023-02-09 19:42:17.206545	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/1c7416e92b05146d9c3e5ede9057cae9 -o genome_clusters/1c7416e92b05146d9c3e5ede9057cae9/output -v -l genome_clusters/1c7416e92b05146d9c3e5ede9057cae9/output.log --name 1c7416e92b05146d9c3e5ede9057cae9 --labels genome_clusters/1c7416e92b05146d9c3e5ede9057cae9/labels.txt --classes genome_clusters/1c7416e92b05146d9c3e5ede9057cae9/classes.txt
32	33	1c86d61cd24dd13b5f56b6791d6bdd58	ANIm	2023-02-09 19:42:53.582542	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/1c86d61cd24dd13b5f56b6791d6bdd58 -o genome_clusters/1c86d61cd24dd13b5f56b6791d6bdd58/output -v -l genome_clusters/1c86d61cd24dd13b5f56b6791d6bdd58/output.log --name 1c86d61cd24dd13b5f56b6791d6bdd58 --labels genome_clusters/1c86d61cd24dd13b5f56b6791d6bdd58/labels.txt --classes genome_clusters/1c86d61cd24dd13b5f56b6791d6bdd58/classes.txt
33	34	1e3f474b2cc1bf9e6fdb598a599b5a2a	ANIm	2023-02-09 19:43:13.671999	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/1e3f474b2cc1bf9e6fdb598a599b5a2a -o genome_clusters/1e3f474b2cc1bf9e6fdb598a599b5a2a/output -v -l genome_clusters/1e3f474b2cc1bf9e6fdb598a599b5a2a/output.log --name 1e3f474b2cc1bf9e6fdb598a599b5a2a --labels genome_clusters/1e3f474b2cc1bf9e6fdb598a599b5a2a/labels.txt --classes genome_clusters/1e3f474b2cc1bf9e6fdb598a599b5a2a/classes.txt
34	35	1e3fd1eaa0999d40f27626a6ace70752	ANIm	2023-02-09 19:43:38.263628	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/1e3fd1eaa0999d40f27626a6ace70752 -o genome_clusters/1e3fd1eaa0999d40f27626a6ace70752/output -v -l genome_clusters/1e3fd1eaa0999d40f27626a6ace70752/output.log --name 1e3fd1eaa0999d40f27626a6ace70752 --labels genome_clusters/1e3fd1eaa0999d40f27626a6ace70752/labels.txt --classes genome_clusters/1e3fd1eaa0999d40f27626a6ace70752/classes.txt
35	36	1f2fbf1f5e634b8421f11a46894d379f	ANIm	2023-02-09 19:43:56.175748	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/1f2fbf1f5e634b8421f11a46894d379f -o genome_clusters/1f2fbf1f5e634b8421f11a46894d379f/output -v -l genome_clusters/1f2fbf1f5e634b8421f11a46894d379f/output.log --name 1f2fbf1f5e634b8421f11a46894d379f --labels genome_clusters/1f2fbf1f5e634b8421f11a46894d379f/labels.txt --classes genome_clusters/1f2fbf1f5e634b8421f11a46894d379f/classes.txt
36	37	224a8ab27410b33db5a643f619e599bd	ANIm	2023-02-09 19:44:13.870500	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/224a8ab27410b33db5a643f619e599bd -o genome_clusters/224a8ab27410b33db5a643f619e599bd/output -v -l genome_clusters/224a8ab27410b33db5a643f619e599bd/output.log --name 224a8ab27410b33db5a643f619e599bd --labels genome_clusters/224a8ab27410b33db5a643f619e599bd/labels.txt --classes genome_clusters/224a8ab27410b33db5a643f619e599bd/classes.txt
37	38	233dc0b3a2ea6ae81cfac671b4b26404	ANIm	2023-02-09 19:44:46.436610	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/233dc0b3a2ea6ae81cfac671b4b26404 -o genome_clusters/233dc0b3a2ea6ae81cfac671b4b26404/output -v -l genome_clusters/233dc0b3a2ea6ae81cfac671b4b26404/output.log --name 233dc0b3a2ea6ae81cfac671b4b26404 --labels genome_clusters/233dc0b3a2ea6ae81cfac671b4b26404/labels.txt --classes genome_clusters/233dc0b3a2ea6ae81cfac671b4b26404/classes.txt
38	39	25846c193dafd27490089f2d5ec1f030	ANIm	2023-02-09 19:46:40.080088	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/25846c193dafd27490089f2d5ec1f030 -o genome_clusters/25846c193dafd27490089f2d5ec1f030/output -v -l genome_clusters/25846c193dafd27490089f2d5ec1f030/output.log --name 25846c193dafd27490089f2d5ec1f030 --labels genome_clusters/25846c193dafd27490089f2d5ec1f030/labels.txt --classes genome_clusters/25846c193dafd27490089f2d5ec1f030/classes.txt
39	40	25ed38269d37e22e63a3d518ea1c916f	ANIm	2023-02-09 19:46:59.924313	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/25ed38269d37e22e63a3d518ea1c916f -o genome_clusters/25ed38269d37e22e63a3d518ea1c916f/output -v -l genome_clusters/25ed38269d37e22e63a3d518ea1c916f/output.log --name 25ed38269d37e22e63a3d518ea1c916f --labels genome_clusters/25ed38269d37e22e63a3d518ea1c916f/labels.txt --classes genome_clusters/25ed38269d37e22e63a3d518ea1c916f/classes.txt
40	41	2807577b2b311beaa14cebf45754b705	ANIm	2023-02-09 19:47:21.972005	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/2807577b2b311beaa14cebf45754b705 -o genome_clusters/2807577b2b311beaa14cebf45754b705/output -v -l genome_clusters/2807577b2b311beaa14cebf45754b705/output.log --name 2807577b2b311beaa14cebf45754b705 --labels genome_clusters/2807577b2b311beaa14cebf45754b705/labels.txt --classes genome_clusters/2807577b2b311beaa14cebf45754b705/classes.txt
41	42	287e46bf8a721566a15260c227f0c70d	ANIm	2023-02-09 19:47:50.727486	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/287e46bf8a721566a15260c227f0c70d -o genome_clusters/287e46bf8a721566a15260c227f0c70d/output -v -l genome_clusters/287e46bf8a721566a15260c227f0c70d/output.log --name 287e46bf8a721566a15260c227f0c70d --labels genome_clusters/287e46bf8a721566a15260c227f0c70d/labels.txt --classes genome_clusters/287e46bf8a721566a15260c227f0c70d/classes.txt
42	43	288de63782067dd6a5fe5a2d3d5484dc	ANIm	2023-02-09 19:48:16.846631	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/288de63782067dd6a5fe5a2d3d5484dc -o genome_clusters/288de63782067dd6a5fe5a2d3d5484dc/output -v -l genome_clusters/288de63782067dd6a5fe5a2d3d5484dc/output.log --name 288de63782067dd6a5fe5a2d3d5484dc --labels genome_clusters/288de63782067dd6a5fe5a2d3d5484dc/labels.txt --classes genome_clusters/288de63782067dd6a5fe5a2d3d5484dc/classes.txt
43	44	28e20611a9f98f745c570d3d1c5d9f65	ANIm	2023-02-09 19:48:52.069567	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/28e20611a9f98f745c570d3d1c5d9f65 -o genome_clusters/28e20611a9f98f745c570d3d1c5d9f65/output -v -l genome_clusters/28e20611a9f98f745c570d3d1c5d9f65/output.log --name 28e20611a9f98f745c570d3d1c5d9f65 --labels genome_clusters/28e20611a9f98f745c570d3d1c5d9f65/labels.txt --classes genome_clusters/28e20611a9f98f745c570d3d1c5d9f65/classes.txt
44	45	29a8ea3a0efe428b9c0bd27b75b4e764	ANIm	2023-02-09 19:50:35.122748	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/29a8ea3a0efe428b9c0bd27b75b4e764 -o genome_clusters/29a8ea3a0efe428b9c0bd27b75b4e764/output -v -l genome_clusters/29a8ea3a0efe428b9c0bd27b75b4e764/output.log --name 29a8ea3a0efe428b9c0bd27b75b4e764 --labels genome_clusters/29a8ea3a0efe428b9c0bd27b75b4e764/labels.txt --classes genome_clusters/29a8ea3a0efe428b9c0bd27b75b4e764/classes.txt
45	46	29bffe81c1638de3ad86bf0b60c20f44	ANIm	2023-02-09 19:51:03.582672	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/29bffe81c1638de3ad86bf0b60c20f44 -o genome_clusters/29bffe81c1638de3ad86bf0b60c20f44/output -v -l genome_clusters/29bffe81c1638de3ad86bf0b60c20f44/output.log --name 29bffe81c1638de3ad86bf0b60c20f44 --labels genome_clusters/29bffe81c1638de3ad86bf0b60c20f44/labels.txt --classes genome_clusters/29bffe81c1638de3ad86bf0b60c20f44/classes.txt
46	47	29c9fb97bf6995ac159748444ef63666	ANIm	2023-02-09 19:51:45.899504	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/29c9fb97bf6995ac159748444ef63666 -o genome_clusters/29c9fb97bf6995ac159748444ef63666/output -v -l genome_clusters/29c9fb97bf6995ac159748444ef63666/output.log --name 29c9fb97bf6995ac159748444ef63666 --labels genome_clusters/29c9fb97bf6995ac159748444ef63666/labels.txt --classes genome_clusters/29c9fb97bf6995ac159748444ef63666/classes.txt
47	48	2d5976f0b8437a8d1bcf7e7e683ee5a0	ANIm	2023-02-09 19:52:04.685885	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/2d5976f0b8437a8d1bcf7e7e683ee5a0 -o genome_clusters/2d5976f0b8437a8d1bcf7e7e683ee5a0/output -v -l genome_clusters/2d5976f0b8437a8d1bcf7e7e683ee5a0/output.log --name 2d5976f0b8437a8d1bcf7e7e683ee5a0 --labels genome_clusters/2d5976f0b8437a8d1bcf7e7e683ee5a0/labels.txt --classes genome_clusters/2d5976f0b8437a8d1bcf7e7e683ee5a0/classes.txt
48	49	2d7308dbf13b0d114e36aa34ee0717e2	ANIm	2023-02-09 19:52:32.352497	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/2d7308dbf13b0d114e36aa34ee0717e2 -o genome_clusters/2d7308dbf13b0d114e36aa34ee0717e2/output -v -l genome_clusters/2d7308dbf13b0d114e36aa34ee0717e2/output.log --name 2d7308dbf13b0d114e36aa34ee0717e2 --labels genome_clusters/2d7308dbf13b0d114e36aa34ee0717e2/labels.txt --classes genome_clusters/2d7308dbf13b0d114e36aa34ee0717e2/classes.txt
49	50	2dc43ef32a4bf0dbd1550901d28fc85a	ANIm	2023-02-09 19:56:20.911118	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/2dc43ef32a4bf0dbd1550901d28fc85a -o genome_clusters/2dc43ef32a4bf0dbd1550901d28fc85a/output -v -l genome_clusters/2dc43ef32a4bf0dbd1550901d28fc85a/output.log --name 2dc43ef32a4bf0dbd1550901d28fc85a --labels genome_clusters/2dc43ef32a4bf0dbd1550901d28fc85a/labels.txt --classes genome_clusters/2dc43ef32a4bf0dbd1550901d28fc85a/classes.txt
